0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,4,8,9,5,0,0,0,0,0,0,0,0,0,0,4,8,9,5,0,
0,35,36,36,37,1,1,5,0,0,0,0,4,1,1,35,36,36,37,0,
0,0,0,0,0,0,0,3,43,44,45,46,3,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,3,51,52,53,54,3,0,0,0,0,0,0,0,
0,0,0,0,0,0,32,33,59,60,61,62,33,34,0,0,0,0,0,0,
0,0,0,0,4,1,40,38,49,49,49,49,58,42,1,5,0,0,0,0,
0,0,4,1,2,1,40,42,1,2,2,1,40,42,1,2,1,5,0,0,
0,0,3,0,3,0,48,39,37,3,3,35,57,50,0,3,0,3,0,0,
0,0,3,0,3,16,17,3,0,3,3,0,3,16,17,3,0,3,0,0,
0,0,3,0,3,24,25,3,0,3,3,0,3,24,25,3,0,3,0,0,
0,0,6,35,36,36,36,36,37,7,6,35,36,36,36,36,37,7,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
